,GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,longitude,latitude
96,2012R1201,2012,R12,14/6/2012,18.2,9.5,0.4,Subiaco,5:40 pm,"34,224",West Coast,3.3,5.12,6.17,10.19,79,Carlton,2.3,4.4,8.8,10.9,69,115.82576,-31.94447
97,2012R1202,2012,R12,15/6/2012,15.4,9.0,0.0,Football Park,8:10 pm,"36,394",Adelaide,5.3,11.6,16.7,17.13,115,St Kilda,3.1,8.8,10.12,16.15,111,149.11195,-35.24852
98,2012R1203,2012,R12,16/6/2012,13.3,8.8,0.0,Sydney Showground,2:10 pm,"7,538",Greater Western Sydney,2.0,5.1,8.1,12.2,74,Richmond,4.2,6.7,9.14,11.2,86,151.18964,-33.70497
99,2012R1204,2012,R12,16/6/2012,22.9,11.7,0.0,Carrara,7:40 pm,"10,170",Gold Coast,1.3,4.3,7.5,12.8,80,North Melbourne,1.5,3.12,7.17,11.21,87,153.35075,-28.00514
100,2012R1205,2012,R12,17/6/2012,15.3,9.7,1.0,M.C.G.,1:10 pm,"35,492",Hawthorn,4.6,8.12,12.19,19.21,135,Brisbane Lions,6.1,7.2,8.2,11.4,70,144.983032,-37.818439
101,2012R1206,2012,R12,17/6/2012,15.3,9.7,1.0,Docklands,4:40 pm,"16,036",Western Bulldogs,3.6,5.1,9.16,13.17,95,Port Adelaide,1.0,4.4,7.6,8.9,57,144.94846,-37.81835
102,2012R1301,2012,R13,22/6/2012,18.7,10.0,0.0,S.C.G.,7:50 pm,"27,400",Sydney,7.0,8.2,10.6,12.8,80,Geelong,1.1,3.3,6.6,11.8,74,149.11195,-35.24852
103,2012R1302,2012,R13,23/6/2012,13.7,4.0,3.2,Docklands,1:40 pm,"20,146",Western Bulldogs,2.3,5.6,5.1,7.14,56,Brisbane Lions,6.1,8.5,12.5,18.6,114,144.94846,-37.81835
104,2012R1303,2012,R13,23/6/2012,13.7,4.0,3.2,M.C.G.,4:40 pm,"62,957",Collingwood,3.5,6.6,11.1,12.13,85,West Coast,2.3,7.6,9.7,12.1,82,144.983032,-37.818439
105,2012R1304,2012,R13,23/6/2012,17.6,2.2,0.0,Subiaco,5:40 pm,"34,567",Fremantle,6.1,8.2,14.4,14.5,89,Essendon,5.2,10.4,13.5,17.11,113,115.82576,-31.94447
